,2019 COMPLETED PASS,2019 ATTEMPTED PASS,2019 PASSING YDS,2019 PASSING TD,2019 INT,2019 CAR,2019 RUSH YDS,2019 RUSH TD,2019 FPTS
0,265.0,401.0,3127.0,36.0,6.0,176.0,1206.0,7.0,415.68
1,319.0,484.0,4031.0,26.0,5.0,43.0,218.0,2.0,287.04
2,333.0,495.0,3852.0,26.0,12.0,82.0,413.0,7.0,320.98
3,388.0,596.0,4902.0,30.0,11.0,52.0,277.0,3.0,337.78
4,341.0,516.0,4110.0,31.0,5.0,75.0,342.0,3.0,328.6
5,349.0,542.0,3722.0,20.0,12.0,93.0,544.0,4.0,285.28
6,373.0,613.0,4057.0,24.0,8.0,26.0,34.0,3.0,263.68
7,408.0,616.0,4466.0,26.0,14.0,34.0,147.0,1.0,267.34
9,388.0,607.0,4039.0,27.0,7.0,62.0,243.0,1.0,275.86
11,271.0,461.0,3089.0,20.0,9.0,109.0,510.0,9.0,288.56
12,353.0,569.0,4002.0,26.0,4.0,46.0,183.0,1.0,278.38
13,284.0,459.0,3027.0,24.0,12.0,45.0,279.0,2.0,214.98
14,394.0,626.0,4638.0,22.0,16.0,33.0,40.0,2.0,247.52
16,201.0,286.0,2742.0,22.0,6.0,43.0,185.0,4.0,224.18
17,317.0,534.0,3827.0,22.0,21.0,28.0,141.0,3.0,229.18
18,329.0,476.0,3978.0,27.0,13.0,46.0,62.0,1.0,247.32
20,307.0,444.0,3603.0,26.0,6.0,31.0,63.0,1.0,244.42
27,361.0,513.0,4054.0,21.0,8.0,27.0,82.0,2.0,244.36
