,2019 CAR,2019 RUSH YDS,2019 RUSH AVG,2019 RUSH TD,2019 REC,2019 REC YDS,2019 REC TDS,2019 FPTS
0,287.0,1387.0,4.8,15.0,116.0,1005.0,4.0,471.2
1,301.0,1357.0,4.5,12.0,54.0,420.0,2.0,311.7
2,217.0,1003.0,4.6,6.0,52.0,438.0,2.0,244.1
4,171.0,797.0,4.7,5.0,81.0,533.0,1.0,248.52
6,303.0,1540.0,5.1,16.0,18.0,206.0,2.0,294.6
7,236.0,1084.0,4.6,16.0,49.0,474.0,3.0,314.8
8,179.0,818.0,4.6,3.0,50.0,509.0,3.0,218.7
9,132.0,557.0,4.2,3.0,92.0,993.0,8.0,309.0
12,278.0,1137.0,4.1,5.0,35.0,287.0,3.0,225.4
15,94.0,345.0,3.7,2.0,36.0,370.0,4.0,141.5
18,162.0,612.0,3.8,8.0,42.0,296.0,1.0,180.8
20,43.0,179.0,4.2,2.0,37.0,285.0,1.0,101.4
21,116.0,464.0,4.0,4.0,34.0,251.0,3.0,145.5
23,151.0,775.0,5.1,2.0,29.0,194.0,2.0,147.9
26,242.0,889.0,3.7,6.0,25.0,185.0,1.0,170.4
27,202.0,1018.0,5.0,10.0,26.0,247.0,5.0,242.5
31,119.0,525.0,4.4,6.0,10.0,69.0,1.0,111.4
33,137.0,772.0,5.6,8.0,14.0,180.0,2.0,165.2
40,111.0,498.0,4.5,5.0,30.0,213.0,2.0,141.1
53,86.0,455.0,5.3,2.0,15.0,107.0,1.0,89.2
